file,name,name_kaytetye,audio,phrases,phrases_kaytetye,phrases_english
001_artweye.png,Man,Artweye,001_artweye.mp3,001phrase_artweye.mp3,"Artweye nyarte apenkerne atyenge angkewethe, akngke ampilewethe, akngke apeke.",That man is coming to talk to me maybe to tell me something.
002_arelhe.png,Woman,Arelhe,002_arelhe.mp3,002phrase_arelhe.mp3,"Arelhe nthewarte ayenge angkewethawe, atye apeke artntwewethe kwere arntwewe apeke katye ilewethe atyenge.",I want to ask that woman over there to see if she can get some water for me.
003_mwetekaye.png,Car,Mwetekaye,003_mwetekaye.mp3,003phrase_mwetekaye.mp3,"Mweteke nthelarte aynanthe apewenawe, alwengayewene aynewanthe iterrtye. Angketye aynanthe arlengarle alpeyenteyanemeketye.","Let's ask that person if they can take us in the car, its too far to walk."
004_mwetekaye_errpatye.png,Bush car,Mwetekaye errpatye,004_mwetekaye_errpatye.mp3,004phrase_mwetekaye_errpatye.mp3,"Mweteke atyeyenge arntenhe. Nyartepe errpatyarrenhe, tyre tyampe atyeyenge wanterteyange nhangarteye, errpatyarrenhe.","My car is not working, the tyres are no good, and something else is broken."
005_marnte.png,Bush bus,Marnte,005_marnte.mp3,005phrase_marnte.mp3,"Ngke, marntele aynanthe alpewene nharte aynanthe arntyarrtyewene stopem-ayleme.",Stop the bus so we can go back on it.
006_pweltye.png,Footy,Pweltye,006_pweltye.mp3,006phrase_pweltye.mp3,"Pweltye aynanthe ape nywerrpe inengele aynanthe play arreranewetheye, nywerrpe-nywerrepele.",We used to play traditional football with teams of different skin groups.
007_pantye.png,Swag,Pantye,007_pantye.mp3,007phrase_pantye.mp3,"Pantye arrene tyangkwerre atyengawe, atnkwe ayenge enwewethe.",Put the swag down this way for me so I can sleep.
008_mwekarte.png,Hat,Mwekarte,008_mwekarte.mp3,008phrase_mwekarte.mp3,"Mwekarte etnyewenawe, elye, elye.",Give me a hat for shade.
009_ware.png,Fire,Ware,009_ware.mp3,009phrase_ware.mp3,"Ware nyarte arrpewenawe, wante ngayele aynewethe apeke, atnwenthe arlewatyerre.","Let's light a fire, as we want to eat some food, cook this goanna meat."
010_arlpe.png,Ashes,Arlpe,010_arlpe.mp3,010phrase_arlpe.mp3,"Arlpe rteye atyenge etnyewenawe, ayengepe apeyake arlpewe, tyanywengepe atye atherrke aynewethe.","Can you give me some ashes? I dont have any, just so I can mix it with my tobacco to chew."
